,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
0,tt0015758,Don Q Son of Zorro,Don Q Son of Zorro,1925,1925-06-15,"Adventure, Romance",111,USA,English,Donald Crisp,"Kate Prichard, Hesketh Prichard",Elton Corporation,"Mary Astor, Jack McDonald, Donald Crisp, Stella De Lanti, Warner Oland, Jean Hersholt, Albert MacQuarrie, Lottie Pickford, Charles Stevens, Tote Du Crow, Martha Franklin, Juliette Belanger, Roy Coulson, Enrique Acosta, Douglas Fairbanks","Don Cesar, son of Zorro, is framed for murder while visiting Spain, and becomes the whip-wielding outlaw Don Q.",7.0,415,,,,,10.0,8.0
1,tt0017136,Metropolis,Metropolis,1927,1928-10-01,"Drama, Sci-Fi",153,Germany,German,Fritz Lang,"Thea von Harbou, Thea von Harbou",Universum Film (UFA),"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",8.3,156076,DEM 6000000,$ 1236166,$ 1349711,98.0,495.0,208.0
2,tt0021884,Frankenstein,Frankenstein,1931,1935-12-02,"Drama, Horror, Romance",70,USA,"English, Latin",James Whale,"John L. Balderston, Mary Shelley",Universal Pictures,"Colin Clive, Mae Clarke, John Boles, Boris Karloff, Edward Van Sloan, Frederick Kerr, Dwight Frye, Lionel Belmore, Marilyn Harris",An obsessed scientist assembles a living being from parts of exhumed corpses.,7.8,63315,$ 291000,,$ 1626,91.0,569.0,125.0
3,tt0022700,Blondie of the Follies,Blondie of the Follies,1932,1932-09-01,"Comedy, Musical",91,USA,English,,"Frances Marion, Anita Loos",Metro-Goldwyn-Mayer (MGM),"Marion Davies, Robert Montgomery, Billie Dove, Jimmy Durante, James Gleason, Zasu Pitts, Sidney Toler, Douglass Dumbrille, Sarah Padden, Louise Carter, Clyde Cook, Rocky Twins","Two young women find their friendship strained when one wins a role in a Broadway show, and the other's boyfriend begins to fall for her.",6.5,1114,$ 602620,,,,17.0,4.0
4,tt0023326,Payment Deferred,Payment Deferred,1932,1932-11-07,"Crime, Drama",81,USA,English,Lothar Mendes,"Ernest Vajda, Claudine West",Metro-Goldwyn-Mayer (MGM),"Charles Laughton, Maureen O'Sullivan, Dorothy Peterson, Verree Teasdale, Ray Milland, Billy Bevan, Halliwell Hobbes, William Stack",A man poisons his nephew out of desperation for money.,6.9,508,,,,,25.0,2.0
5,tt0027623,Flash Gordon,Flash Gordon,1936,1936-04-06,"Action, Adventure, Sci-Fi",245,USA,English,"Frederick Stephani, Ray Taylor","Alex Raymond, Frederick Stephani",Universal Pictures Corporation,"Buster Crabbe, Jean Rogers, Charles Middleton, Priscilla Lawson, Frank Shannon, Richard Alexander, Jack 'Tiny' Lipson, Theodore Lorch, Richard Tucker, George Cleveland, James Pierce, Duke York, Muriel Goodspeed, Earl Askam, House Peters Jr.","Flash Gordon, Dale Arden and Dr. Alexis Zarkov visit the planet Mongo to thwart the evil schemes of Emperor Ming the Merciless, who has set his planet on a collision course with Earth.",7.0,2119,$ 360000,,,,45.0,22.0
6,tt0029992,A Christmas Carol,A Christmas Carol,1938,1938-12-16,"Drama, Family, Fantasy",69,USA,English,Edwin L. Marin,"Charles Dickens, Hugo Butler",Metro-Goldwyn-Mayer (MGM),"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn, Barry MacKay, Lynne Carver, Leo G. Carroll, Lionel Braham, Ann Rutherford, D'Arcy Corrigan, Ronald Sinclair","On Christmas Eve, Ebenezer Scrooge is visited by the spirit of his former partner, Jacob Marley. The deceased partner was as mean and miserly as Scrooge is now and he warns him to change his ways or face the consequences in the afterlife.",7.5,5902,,,,,90.0,28.0
7,tt0030191,Gold Diggers in Paris,Gold Diggers in Paris,1938,1938-06-11,"Comedy, Musical, Romance",97,USA,"English, French",Ray Enright,"Earl Baldwin, Warren Duff",Warner Bros.,"Rudy Vallee, Rosemary Lane, Hugh Herbert, Allen Jenkins, Gloria Dickson, Melville Cooper, Mabel Todd, Fritz Feld, Curt Bois, Edward Brophy, Victor Kilian, Georges Renavent, Armand Kaliz, Maurice Cass, Eddie 'Rochester' Anderson",Owners and show girls of the bankrupt Club Ballé are mistaken for the Academy Ballet of America and are off to Paris to compete in an International Dance Exposition.,5.8,341,,,,,16.0,3.0
8,tt0031359,Gaslight,Gaslight,1940,1940-08-31,"Mystery, Thriller",84,UK,English,Thorold Dickinson,"Patrick Hamilton, A.R. Rawlinson",British National Films,"Anton Walbrook, Diana Wynyard, Frank Pettingell, Cathleen Cordell, Robert Newton, Jimmy Hanley, Minnie Rayner, Marie Wright, Aubrey Dexter, Mary Hinton, Angus Morrison, Jack Barty, The Darmora Ballet","Twenty years after the murder of Alice Barlow, her house is finally occupied again. However, the husband from the couple who have moved in has a secret which he will do anything to keep hidden.",7.3,3743,,,,,73.0,26.0
9,tt0031725,Ninotchka,Ninotchka,1939,1948-03-16,"Comedy, Romance",110,USA,"English, Russian",Ernst Lubitsch,"Charles Brackett, Billy Wilder",Metro-Goldwyn-Mayer (MGM),"Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi, Sig Ruman, Felix Bressart, Alexander Granach, Gregory Gaye, Rolfe Sedan, Edwin Maxwell, Richard Carle",A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,7.9,18470,$ 1365000,,,,109.0,65.0
10,tt0031891,The Saint in London,The Saint in London,1939,1939-06-29,"Action, Comedy, Crime",77,UK,English,John Paddy Carstairs,"Lynn Root, Frank Fenton",RKO Radio Pictures,"George Sanders, Sally Gray, David Burns, Gordon McLeod, Henry Oscar, Athene Seyler, John Abbott, Ralph Truman, Charles Carson, Carl Jaffe, Norah Howard, Ballard Berkeley, Charles Paton",The Saint returns to London and with the help of an American pickpocket and a beautiful adventuress breaks a counterfeiting ring.,6.4,767,,,,,23.0,15.0
11,tt0032261,Blondie Has Servant Trouble,Blondie Has Servant Trouble,1940,1940-07-25,Comedy,70,USA,English,Frank R. Strayer,"Richard Flournoy, Albert Duffy",Columbia Pictures,"Penny Singleton, Arthur Lake, Larry Simms, Daisy, Danny Mummert, Jonathan Hale, Arthur Hohl, Esther Dale, Irving Bacon, Ray Turner, Walter Soderling, Fay Helm","Mr. Dithers has a house he can't unload because it is rumored to be haunted. When he lets the Bumsteads move into it, they discover sliding panels and secret passages. The haunting is the ...",6.9,249,,,,,11.0,2.0
12,tt0032262,Blondie Plays Cupid,Blondie Plays Cupid,1940,1940-10-31,Comedy,68,USA,English,Frank R. Strayer,"Richard Flournoy, Karen DeWolf",Columbia Pictures,"Penny Singleton, Arthur Lake, Larry Simms, Daisy, Jonathan Hale, Danny Mummert, Irving Bacon, Glenn Ford, Luana Walters, Will Wright, Spencer Charters, Leona Roberts","The Bumstead family is off to see relatives in the country when Blondie runs into Charlie and Millie, an eloping couple needing her help.",6.8,238,,,,,11.0,1.0
13,tt0033403,Blondie Goes Latin,Blondie Goes Latin,1941,1941-02-27,"Comedy, Music",68,USA,English,"Frank R. Strayer, Robert Sparks","Chic Young, Richard Flournoy",Columbia Pictures,"Penny Singleton, Arthur Lake, Larry Simms, Daisy, Ruth Terry, Danny Mummert, Jonathan Hale, Janet Burston, Kirby Grant, Tito Guízar",Dagwood disguises himself as a drummer in the ship's conga band to sneak aboard a South American cruise ship. Blondie performs several song-and-dance routines.,6.7,218,,,,,8.0,1.0
14,tt0034570,Calling Dr. Gillespie,Calling Dr. Gillespie,1942,1942-08-01,"Crime, Drama, Thriller",84,USA,English,Harold S. Bucquet,"Max Brand, Kubec Glasmon",Metro-Goldwyn-Mayer (MGM),"Lionel Barrymore, Philip Dorn, Donna Reed, Phil Brown, Nat Pendleton, Alma Kruger, Mary Nash, Walter Kingsford, Nell Craig, Ruth Tobey, Jonathan Hale, Charles Dingle, Marie Blake, Nana Bryant, Eddie Acuff",Dr. Gillespie is called in to investigate when a young man suffering from mental problems disappears on a killing spree.,6.2,327,,,,,10.0,2.0
15,tt0034583,Casablanca,Casablanca,1942,1946-11-21,"Drama, Romance, War",102,USA,"English, French, German, Italian",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein",Warner Bros.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.5,509953,$ 950000,$ 4108411,$ 4374761,100.0,1303.0,196.0
16,tt0035575,Yankee Doodle Dandy,Yankee Doodle Dandy,1942,1945-07-15,"Biography, Drama, Musical",126,USA,English,Michael Curtiz,"Robert Buckner, Edmund Joseph",Warner Bros.,"James Cagney, Joan Leslie, Walter Huston, Richard Whorf, Irene Manning, George Tobias, Rosemary DeCamp, Jeanne Cagney, Frances Langford, George Barbier, S.Z. Sakall, Walter Catlett, Douglas Croft, Eddie Foy Jr., Minor Watson","The life of the renowned musical composer, playwright, actor, dancer, and singer",7.7,13862,,$ 11800000,,89.0,121.0,47.0
17,tt0038367,Blondie Knows Best,Blondie Knows Best,1946,1946-10-17,Comedy,69,USA,English,Abby Berlin,"Edward Bernds, Al Martin",Columbia Pictures,"Penny Singleton, Arthur Lake, Larry Simms, Marjorie Ann Mutchie, Daisy, Steven Geray, Jonathan Hale, Shemp Howard, Jerome Cowan, Danny Mummert, Ludwig Donath, Arthur Loft","In order to close a business deal, Dagwood impersonates Mr. Dithers. While doing so he must avoid the nearly blind process server Jim Gray.",6.9,157,,,,,7.0,1.0
18,tt0043059,Totò sceicco,Totò sceicco,1950,1950-11-30,Comedy,95,Italy,Italian,Mario Mattoli,"Agenore Incrocci, Marcello Marchesi",Manenti Film Sp.A.,"Totò, Tamara Lees, Laura Gore, Lauretta De Lauri, Ada Dondini, Kiki Urbani, Aroldo Tieri, Cesare Polacco, Arnoldo Foà, Mario Castellani, Riccardo Billi, Ubaldo Lay, Carlo Duse, Carlo Croccolo, Ughetto Bertucci","Antonio is the humble servant of a rich family, governed by the Marquis Gastone. He is a young man madly in love with Lulu, but she betrays him, and he desperately enlist in the foreign legion.",6.5,240,,,,,,1.0
19,tt0045009,Park Row,Park Row,1952,1971-02-24,"Drama, Thriller",83,USA,"English, French, German",Samuel Fuller,Samuel Fuller,Samuel Fuller Productions,"Gene Evans, Mary Welch, Bela Kovacs, Herbert Heyes, Tina Pine, George O'Hanlon, J.M. Kerrigan, Forrest Taylor, Don Orlando, Neyle Morrow, Dick Elliott, Stuart Randall, Dee Pollock, Hal K. Dawson","The Globe is a small, but visionary newspaper started by Phineas Mitchell, an editor recently fired by The Star. The two newspapers become enemies, and the Star's ruthless heiress Charity Hackett decides to eliminate the competition.",7.2,1454,$ 200000,,,,27.0,35.0
20,tt0045296,Viva Zapata!,Viva Zapata!,1952,1952-09-18,"Biography, Drama, History",113,USA,"English, Spanish",,John Steinbeck,Twentieth Century Fox,"Marlon Brando, Jean Peters, Anthony Quinn, Joseph Wiseman, Arnold Moss, Alan Reed, Margo, Harold Gordon, Lou Gilbert, Frank Silvera, Florenz Ames, Richard Garrick, Fay Roope, Mildred Dunnock",The story of Mexican revolutionary,7.4,10140,$ 1800000,,,,60.0,39.0
21,tt0046359,Stalag 17,Stalag 17,1953,1953-12-07,"Comedy, Drama, War",120,USA,"English, German, Russian",,"Billy Wilder, Edwin Blum",Paramount Pictures,"William Holden, Don Taylor, Otto Preminger, Robert Strauss, Harvey Lembeck, Richard Erdman, Peter Graves, Neville Brand, Sig Ruman, Michael Moore, Peter Baldwin, Robinson Stone, Robert Shawley, William Pierson, Gil Stratton","When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",8.0,50292,$ 1661530,,,84.0,163.0,97.0
22,tt0046828,Carmen Jones,Carmen Jones,1954,1954-10-28,"Drama, Musical, Romance",105,USA,English,Otto Preminger,"Oscar Hammerstein II, Harry Kleiner",Otto Preminger Films,"Harry Belafonte, Dorothy Dandridge, Pearl Bailey, Olga James, Joe Adams, Brock Peters, Roy Glenn, Nick Stewart, Diahann Carroll, LeVern Hutcherson, Marilyn Horne, Marvin Hayes","Contemporary version of the Bizet opera, with new lyrics and an African-American cast.",6.8,4487,$ 750000,,,65.0,61.0,42.0
23,tt0046903,Désirée,Désirée,1954,1955-02-11,"Biography, Drama, History",110,USA,"English, Swedish",Henry Koster,"Annemarie Selinko, Daniel Taradash",Twentieth Century Fox,"Marlon Brando, Jean Simmons, Merle Oberon, Michael Rennie, Cameron Mitchell, Elizabeth Sellars, Charlotte Austin, Cathleen Nesbitt, Evelyn Varden, Isobel Elsom, John Hoyt, Alan Napier, Mary Stewart","The rise and fall of Napoleon Bonaparte, Emperor of France.",6.4,2603,$ 2720000,,,,32.0,15.0
24,tt0047034,Godzilla,Gojira,1954,1957-04-05,"Action, Drama, Horror",96,Japan,Japanese,Ishirô Honda,"Takeo Murata, Ishirô Honda",Toho Film (Eiga) Co. Ltd.,"Akira Takarada, Momoko Kôchi, Akihiko Hirata, Takashi Shimura, Fuyuki Murakami, Sachio Sakai, Toranosuke Ogawa, Ren Yamamoto, Hiroshi Hayashi, Seijirô Onda, Tsuruko Mano, Takeo Oikawa, Toyoaki Suzuki, Kokuten Kôdô, Tadashi Okabe","American nuclear weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast.",7.6,28109,$ 175000,$ 562711,$ 562711,78.0,224.0,134.0
